segment number,annotation,mode
0,2,audio_only
1,1,audio_only
2,1,audio_only
3,3,audio_only
4,3,audio_only
5,3,audio_only
6,3,audio_only
7,3,audio_only
8,3,audio_only
9,3,audio_only
10,3,audio_only
11,2,audio_only
12,1,audio_only
13,3,audio_only
14,3,audio_only
15,3,audio_only
16,0,audio_only
17,3,audio_only
18,3,audio_only
19,3,audio_only
20,0,audio_only
21,3,audio_only
22,3,audio_only
23,3,audio_only
24,3,audio_only
25,1,audio_only
26,3,audio_only
27,3,audio_only
28,3,audio_only
29,3,audio_only
30,3,audio_only
31,3,audio_only
32,3,audio_only
33,3,audio_only
34,1,audio_only
35,1,audio_only
